161106  1:45:33	  284 Query	SELECT  `spree_preferences`.* FROM `spree_preferences` WHERE `spree_preferences`.`key` = 'spree/frontend_configuration/locale' LIMIT 1
		  284 Query	SELECT  `spree_users`.* FROM `spree_users` WHERE `spree_users`.`deleted_at` IS NULL AND `spree_users`.`id` = 2  ORDER BY `spree_users`.`id` ASC LIMIT 1
		  284 Query	SELECT  `spree_stores`.* FROM `spree_stores` WHERE (url like '%localhost%')  ORDER BY `spree_stores`.`id` ASC LIMIT 1
		  284 Query	SELECT  `spree_stores`.* FROM `spree_stores` WHERE `spree_stores`.`default` = 1  ORDER BY `spree_stores`.`id` ASC LIMIT 1
		  284 Query	SELECT  `spree_orders`.* FROM `spree_orders` WHERE `spree_orders`.`completed_at` IS NULL AND `spree_orders`.`currency` = 'USD' AND `spree_orders`.`guest_token` = '2oWYCSWLu0CX2vPriQO5VA1478425410433' AND `spree_orders`.`store_id` = 1 AND `spree_orders`.`user_id` = 2 LIMIT 1
		  284 Query	SELECT  `spree_orders`.* FROM `spree_orders` WHERE `spree_orders`.`user_id` = 2 AND `spree_orders`.`completed_at` IS NULL  ORDER BY created_at DESC LIMIT 1
		  284 Query	SELECT COUNT(*) FROM `spree_roles` INNER JOIN `spree_roles_users` ON `spree_roles`.`id` = `spree_roles_users`.`role_id` WHERE `spree_roles_users`.`user_id` = 2 AND `spree_roles`.`name` = 'admin'
		  284 Query	SELECT  `spree_products`.* FROM `spree_products` INNER JOIN `spree_variants` ON `spree_variants`.`product_id` = `spree_products`.`id` AND `spree_variants`.`is_master` = 1 AND `spree_variants`.`deleted_at` IS NULL INNER JOIN `spree_prices` ON `spree_prices`.`variant_id` = `spree_variants`.`id` AND `spree_prices`.`deleted_at` IS NULL WHERE `spree_products`.`deleted_at` IS NULL AND (`spree_products`.deleted_at IS NULL or `spree_products`.deleted_at >= '2016-11-06 09:45:33.742452') AND (`spree_products`.available_on <= '2016-11-06 09:45:33.743314') AND `spree_products`.`slug` = 'tp1'  ORDER BY `spree_products`.`id` ASC LIMIT 1
		  284 Query	SELECT `spree_promotion_rules`.* FROM `spree_promotion_rules` INNER JOIN `spree_products_promotion_rules` ON `spree_promotion_rules`.`id` = `spree_products_promotion_rules`.`promotion_rule_id` WHERE `spree_products_promotion_rules`.`product_id` = 17
		  284 Query	SELECT `spree_promotions`.* FROM `spree_promotions` WHERE `spree_promotions`.`advertise` = 1 AND 1=0
		  284 Query	SELECT  `spree_variants`.* FROM `spree_variants` WHERE `spree_variants`.`deleted_at` IS NULL AND `spree_variants`.`product_id` = 17 AND `spree_variants`.`is_master` = 1 LIMIT 1
		  284 Query	SELECT  1 AS one FROM `spree_assets` WHERE `spree_assets`.`type` IN ('Spree::Image') AND `spree_assets`.`viewable_id` = 27 AND `spree_assets`.`viewable_type` = 'Spree::Variant' AND `spree_assets`.`type` IN ('Spree::Image') LIMIT 1
		  284 Query	SELECT  1 AS one FROM `spree_assets` INNER JOIN `spree_variants` ON `spree_assets`.`viewable_id` = `spree_variants`.`id` WHERE `spree_variants`.`deleted_at` IS NULL AND `spree_assets`.`type` IN ('Spree::Image') AND `spree_variants`.`product_id` = 17 AND `spree_assets`.`viewable_type` = 'Spree::Variant' AND `spree_assets`.`type` IN ('Spree::Image') AND `spree_assets`.`type` IN ('Spree::Image') LIMIT 1
		  284 Query	SELECT `spree_assets`.* FROM `spree_assets` WHERE `spree_assets`.`type` IN ('Spree::Image') AND `spree_assets`.`viewable_id` = 27 AND `spree_assets`.`viewable_type` = 'Spree::Variant' AND `spree_assets`.`type` IN ('Spree::Image')  ORDER BY `spree_assets`.`position` ASC
